Index_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,State Type,Functional,Expression,Engineer,Table_Name,Spatial_Index,Spatial_Layer_Type,Geodetic_Index,Number_Of_Dimensions
"Emails_PK",5D14D41B-F904-36A1-6965-8A56150A2B20,99,,5D9127ED-0314-17EF-1AF8-0FC6F74E21BE,71,Primary Constraint,,N,Y,"Emails",N,,,,
"Emails_Contatos_FK",7A92958D-E429-9583-33AC-C569ADFF4FD6,100,,5D9127ED-0314-17EF-1AF8-0FC6F74E21BE,71,Foreign Key,,N,Y,"Emails",N,,,,
"Emails_Tipos_FK",7242D12F-54BD-3C3F-39D9-BEEC66B6A591,101,,5D9127ED-0314-17EF-1AF8-0FC6F74E21BE,71,Foreign Key,,N,Y,"Emails",N,,,,
"Telefones_PK",02A7DD71-42BB-FB84-61C4-0733F9D04DC7,102,,7129D239-B274-E176-202D-FB6249AB2248,73,Primary Constraint,,N,Y,"Telefones",N,,,,
"Telefones_Contatos_FK",1154A511-5096-C346-8233-254FE7B23590,103,,7129D239-B274-E176-202D-FB6249AB2248,73,Foreign Key,,N,Y,"Telefones",N,,,,
"Telefones_Tipos_FK",CEF4D8BD-EE77-7270-98E2-7E3600660245,104,,7129D239-B274-E176-202D-FB6249AB2248,73,Foreign Key,,N,Y,"Telefones",N,,,,
"Contatos_PK",60195CDA-00C5-83A1-05A8-B7B5541EE291,105,,A0CC19BA-59C2-DD2F-E3D0-F836BD88ADF9,70,Primary Constraint,,N,Y,"Contatos",N,,,,
"Contatos_Tipos_FK",5FCADB97-7093-5D5E-F028-DF6903D68292,106,,A0CC19BA-59C2-DD2F-E3D0-F836BD88ADF9,70,Foreign Key,,N,Y,"Contatos",N,,,,
"Enderecos_PK",9D0E9E6F-83E1-D56A-8F2C-49B610066054,107,,D9C6277D-939F-7AC4-3DC2-13CE0320D447,72,Primary Constraint,,N,Y,"Enderecos",N,,,,
"Enderecos_Contatos_FK",492C9237-94D3-676B-8553-C48536581E8D,108,,D9C6277D-939F-7AC4-3DC2-13CE0320D447,72,Foreign Key,,N,Y,"Enderecos",N,,,,
"Enderecos_Tipos_FK",B47490C9-2D13-266B-93FE-EB34F6DE0B55,109,,D9C6277D-939F-7AC4-3DC2-13CE0320D447,72,Foreign Key,,N,Y,"Enderecos",N,,,,
"Tipos_PK",3F03D5ED-4B4A-BA2C-0F8C-32CA91FCDAED,110,,F9A6D2BB-57F8-7C01-0BD4-9C8E8BE96AC6,74,Primary Constraint,,N,Y,"Tipos",N,,,,
